POS Txn,Dept,ID,Sales U
16120100160038000000,MISSY TOPS,8,2
16120100160038000000,MISSY TOPS,8,1
16120100160038000000,MISSY TOPS,8,1
16120100160079000000,MISSY TOPS,8,-1
16120100160162000000,MISSY TOPS,8,2
16120100160033000000,MISSY BOTTOMS,9,1
16120100160035000000,MISSY BOTTOMS,9,1
16120100160035000000,MISSY BOTTOMS,9,1
16120100160037000000,MISSY BOTTOMS,9,1
16120100160031000000,JUNIOR BOTTOMS,10,1
16120100160034000000,JUNIOR BOTTOMS,10,2
16120100160035000000,JUNIOR BOTTOMS,10,1
16120100160078000000,JUNIOR BOTTOMS,10,-1
16120100160078000000,JUNIOR BOTTOMS,10,1
16120100160033000000,WOMENS SEPARATES,11,2
16120100160037000000,WOMENS SEPARATES,11,1
16120100160033000000,PETITE SEPARATES,12,2
16120100160035000000,PETITE SEPARATES,12,1
16120100160036000000,PETITE SEPARATES,12,1
16120100160037000000,PETITE SEPARATES,12,2
16120100160037000000,PETITE SEPARATES,12,1
16120100160038000000,PETITE SEPARATES,12,1
16120100160038000000,PETITE SEPARATES,12,1
16120100160024000000,DENIM COLLECTIONS,13,1
16120100160031000000,DENIM COLLECTIONS,13,1
16120100160033000000,DENIM COLLECTIONS,13,1
16120100160034000000,DENIM COLLECTIONS,13,3
16120100160036000000,LADIES MODERN COLLEC,14,2
16120100160038000000,LADIES MODERN COLLEC,14,1
16120100160078000000,LADIES MODERN COLLEC,14,-3
16120100160023000000,JUNIOR DRESSES,17,2
16120100160033000000,JUNIOR DRESSES,17,1
16120100160079000000,JUNIOR DRESSES,17,-1
16120100160077000000,PETITE COLLECTIONS,18,-1
16120100160031000000,STYLE & CO,19,1
16120100160032000000,STYLE & CO,19,1
16120100160034000000,STYLE & CO,19,1
16120100160035000000,STYLE & CO,19,1
16120100160037000000,STYLE & CO,19,1
16120100160077000000,STYLE & CO,19,1
16120100160078000000,STYLE & CO,19,-1
16120100160031000000,LADIES ACTIVEWEAR,21,1
16120100160033000000,LADIES ACTIVEWEAR,21,1
16120100160034000000,LADIES ACTIVEWEAR,21,5
16120100160035000000,LADIES ACTIVEWEAR,21,1
16120100160035000000,LADIES ACTIVEWEAR,21,1
16120100160035000000,LADIES ACTIVEWEAR,21,2
16120100160036000000,LADIES ACTIVEWEAR,21,4
16120100160036000000,LADIES ACTIVEWEAR,21,1
16120100160037000000,LADIES ACTIVEWEAR,21,2
16120100160037000000,LADIES ACTIVEWEAR,21,2
16120100160038000000,LADIES ACTIVEWEAR,21,1
16120100160077000000,LADIES ACTIVEWEAR,21,1
16120100160078000000,LADIES ACTIVEWEAR,21,-4
16120100160078000000,LADIES ACTIVEWEAR,21,-4
16120100160079000000,LADIES ACTIVEWEAR,21,-1
16120100160034000000,FOUNDATIONS,22,1
16120100160035000000,FOUNDATIONS,22,2
16120100160038000000,FOUNDATIONS,22,5
16120100160078000000,FOUNDATIONS,22,-1
16120100160162000000,FOUNDATIONS,22,7
16120100160022000000,DAYWEAR,23,1
16120100160023000000,DAYWEAR,23,2
16120100160024000000,DAYWEAR,23,1
16120100160033000000,DAYWEAR,23,2
16120100160033000000,DAYWEAR,23,2
16120100160035000000,DAYWEAR,23,1
16120100160035000000,DAYWEAR,23,1
16120100160036000000,DAYWEAR,23,1
16120100160036000000,DAYWEAR,23,1
16120100160037000000,DAYWEAR,23,2
16120100160038000000,DAYWEAR,23,1
16120100160038000000,DAYWEAR,23,3
16120100160038000000,DAYWEAR,23,2
16120100160077000000,DAYWEAR,23,-1
16120100160079000000,DAYWEAR,23,-1
16120100160101000000,DAYWEAR,23,1
16120100160101000000,DAYWEAR,23,1
16120100160162000000,DAYWEAR,23,10
16120100160022000000,SLEEPWEAR/LOUNGEWEAR,24,1
16120100160031000000,SLEEPWEAR/LOUNGEWEAR,24,9
16120100160031000000,SLEEPWEAR/LOUNGEWEAR,24,2
16120100160031000000,SLEEPWEAR/LOUNGEWEAR,24,3
16120100160031000000,SLEEPWEAR/LOUNGEWEAR,24,2
16120100160031000000,SLEEPWEAR/LOUNGEWEAR,24,7
16120100160032000000,SLEEPWEAR/LOUNGEWEAR,24,1
16120100160033000000,SLEEPWEAR/LOUNGEWEAR,24,1
16120100160034000000,SLEEPWEAR/LOUNGEWEAR,24,3
16120100160034000000,SLEEPWEAR/LOUNGEWEAR,24,2
16120100160035000000,SLEEPWEAR/LOUNGEWEAR,24,2
16120100160036000000,SLEEPWEAR/LOUNGEWEAR,24,1
16120100160037000000,SLEEPWEAR/LOUNGEWEAR,24,1
16120100160037000000,SLEEPWEAR/LOUNGEWEAR,24,1
16120100160037000000,SLEEPWEAR/LOUNGEWEAR,24,1
16120100160037000000,SLEEPWEAR/LOUNGEWEAR,24,3
16120100160038000000,SLEEPWEAR/LOUNGEWEAR,24,3
16120100160038000000,SLEEPWEAR/LOUNGEWEAR,24,2
16120100160038000000,SLEEPWEAR/LOUNGEWEAR,24,1
16120100160038000000,SLEEPWEAR/LOUNGEWEAR,24,1
16120100160078000000,SLEEPWEAR/LOUNGEWEAR,24,-1
16120100160162000000,SLEEPWEAR/LOUNGEWEAR,24,2
16120100160024000000,HANDBAGS,26,3
16120100160032000000,HANDBAGS,26,1
16120100160033000000,HANDBAGS,26,1
16120100160033000000,HANDBAGS,26,1
16120100160034000000,HANDBAGS,26,1
16120100160034000000,HANDBAGS,26,1
16120100160034000000,HANDBAGS,26,1
16120100160034000000,HANDBAGS,26,1
16120100160035000000,HANDBAGS,26,1
16120100160035000000,HANDBAGS,26,1
16120100160035000000,HANDBAGS,26,1
16120100160036000000,HANDBAGS,26,1
16120100160036000000,HANDBAGS,26,1
16120100160037000000,HANDBAGS,26,2
16120100160038000000,HANDBAGS,26,2
16120100160038000000,HANDBAGS,26,2
16120100160077000000,HANDBAGS,26,0
16120100160077000000,HANDBAGS,26,1
16120100160077000000,HANDBAGS,26,-1
16120100160078000000,HANDBAGS,26,-1
16120100160078000000,HANDBAGS,26,-1
16120100160095000000,HANDBAGS,26,1
16120100160097000000,HANDBAGS,26,1
16120100160022000000,FASHION ACCESSORIES,27,2
16120100160024000000,FASHION ACCESSORIES,27,1
16120100160033000000,FASHION ACCESSORIES,27,1
16120100160033000000,FASHION ACCESSORIES,27,2
16120100160033000000,FASHION ACCESSORIES,27,1
16120100160033000000,FASHION ACCESSORIES,27,1
16120100160033000000,FASHION ACCESSORIES,27,1
